attraction_id,city_id,attraction_name,category,entry_fee
128,313,Palazzo Barone Gentile Sisto,Tourist Spot,9.75
129,313,Palazzo De Ferraris-Regna,Tourist Spot,3.23
130,313,Castello Normanno Svevo,Tourist Spot,1.97
131,313,Palazzo Sylos Sersale,Tourist Spot,19.99
132,313,Torrione Angioino,Tourist Spot,1.36
133,313,Concattedrale di Maria Santissima Assunta,Tourist Spot,11.95
134,313,Santa Maria del Popolo,Tourist Spot,7.35
135,313,Porta Baresana,Tourist Spot,17.22
136,313,San Gaetano,Tourist Spot,9.06
137,313,Palazzo Bove,Tourist Spot,3.05
138,313,Guglia dell'Immacolata,Tourist Spot,19.94
139,313,Porta del Carmine,Tourist Spot,11.30
140,313,San Matteo,Tourist Spot,16.90
141,313,Jazzo Don Ciccillo,Tourist Spot,10.93
142,313,Castello di Toritto,Tourist Spot,11.12
143,313,menhir Pietrefitte 1,Tourist Spot,6.01
144,313,menhir Pietrefitte 2,Tourist Spot,18.44
145,313,Via Appia-Traiana,Tourist Spot,19.46
146,314,Queenstown Ice Arena,Tourist Spot,1.10
147,314,Escape Quest Queenstown,Tourist Spot,8.01
148,314,Queenstown Skyline Gondola,Tourist Spot,12.20
149,314,Williams Cottage,Tourist Spot,10.60
150,314,Eichardt's Private Hotel,Tourist Spot,9.22
151,314,Fear Factory,Tourist Spot,15.35
152,314,Queenstown Police Station,Tourist Spot,3.88
153,314,Freemason Lodge (Lake Lodge of Ophir),Tourist Spot,17.05
154,314,Ben Lomond,Tourist Spot,10.85
155,314,Robert Scott Memorial,Tourist Spot,4.38
156,314,Sugar Loaf,Tourist Spot,2.30
157,314,Arthurs Point Road,Tourist Spot,3.64
158,314,Skyline Luge Queenstown,Tourist Spot,0.24
159,314,Shotover Jet,Tourist Spot,0.96
160,314,Seven Mile Point,Tourist Spot,7.86
161,314,Lower Shotover Bridge,Tourist Spot,16.77
162,314,Stone ruins,Tourist Spot,17.18
163,314,Old siphon,Tourist Spot,19.23
164,314,Kiln ruins,Tourist Spot,11.23
165,314,Site of old chinese camp,Tourist Spot,4.85
166,315,Promenade en Mer Bateau Nivelle V,Tourist Spot,4.32
167,315,Phare de la Pointe Saint-Martin,Tourist Spot,14.07
168,315,Villa Leihorra,Tourist Spot,12.94
169,315,Chapelle Impériale,Tourist Spot,11.68
170,315,Maison dite Lohobiague Enea ou Maison Louis XIV,Tourist Spot,12.65
171,315,Yacht club Basque,Tourist Spot,2.53
172,315,Parc Ecologique Izadia,Tourist Spot,3.49
173,315,CIAP Les Récollets - Errekoletoak,Tourist Spot,10.34
174,315,Musée du Château d'Arcangues,Tourist Spot,3.99
175,315,Maison de Ravel,Tourist Spot,11.16
176,315,iZi Rider,Tourist Spot,13.56
177,315,Gurekin Plongée,Tourist Spot,0.15
178,315,Evi Nautika,Tourist Spot,7.16
179,315,L'Hermione,Tourist Spot,2.11
180,315,BAB_41,Tourist Spot,13.65
181,315,Château-Vieux,Tourist Spot,12.04
182,315,La Citadelle,Tourist Spot,2.64
183,315,Château Boulard,Tourist Spot,14.93
184,315,Gare du Midi,Tourist Spot,9.90
185,315,Maison de l'Infante,Tourist Spot,4.06
186,316,Cathédrale Notre-Dame de L'Assomption,Tourist Spot,2.98
187,316,Abraca'delires,Tourist Spot,4.05
188,316,Place RAPONDA-WALKER,Tourist Spot,0.28
189,316,Roi Quaben Kaka Rapono,Tourist Spot,3.26
190,316,Memorial Léon MBA,Tourist Spot,14.84
191,316,Cathédrale Notre-Dame des Neiges,Tourist Spot,11.20
192,316,Monument de la Libération,Tourist Spot,0.69
193,316,Mission évangélique de Baraka,Tourist Spot,8.90
194,316,Stèle de la liberté,Tourist Spot,0.39
195,316,Roind Point de la Démocratie,Tourist Spot,17.24
196,316,Monument de la Tolérance,Tourist Spot,0.72
197,316,Place de la Fraternité,Tourist Spot,9.05
198,316,Delta Postal,Tourist Spot,14.64
1198,383,Canons,Tourist Spot,11.19
199,316,Capitaine Charles N'Tchoréré,Tourist Spot,0.58
200,316,Léon MBA,Tourist Spot,7.61
201,316,Rotary International,Tourist Spot,18.21
202,316,Monument aux Morts,Tourist Spot,8.96
203,317,Sintra Marmòris Palace,Tourist Spot,1.77
204,395,Mount Yasur,Tourist Spot,7.15
205,317,Quinta da Regaleira,Tourist Spot,9.40
206,317,Palácio da Pena,Tourist Spot,10.86
207,317,Parque de Monserrate,Tourist Spot,18.19
208,317,Monumento Natural de Carenque,Tourist Spot,5.49
209,317,Moinho da Pedra,Tourist Spot,17.21
210,317,Centro Interpretativo das Águas de Caneças,Tourist Spot,16.19
211,317,Conjunto Megalítico de Barreira,Tourist Spot,16.32
212,317,Sítio Arqueológico do Alto da Vigia,Tourist Spot,19.54
213,317,Palácio Nacional de Sintra,Tourist Spot,12.27
214,317,Forte de Crismina,Tourist Spot,3.97
215,317,Forte de Santo António da Barra,Tourist Spot,13.79
216,317,Castro de Leceia,Tourist Spot,2.63
217,317,Quinta da Regaleira,Tourist Spot,14.31
218,317,Palácio de Monserrate,Tourist Spot,3.91
219,317,Chalet da Condessa d'Edla,Tourist Spot,12.20
220,317,Vila Romana de Freiria,Tourist Spot,6.99
221,317,Necrópole de Carenque,Tourist Spot,5.98
222,317,Fonte dos Passarinhos,Tourist Spot,0.09
223,317,Fonte das Fontainhas,Tourist Spot,1.00
224,318,Arsenal,Tourist Spot,0.37
225,318,Starogradsko polje,Tourist Spot,18.00
226,318,Palača Biankini,Tourist Spot,7.30
227,318,Mauzolej Šime Ljubića,Tourist Spot,4.47
228,318,Tvrdalj Petra Hektorovića,Tourist Spot,12.35
229,318,Palača Paladini,Tourist Spot,4.24
230,318,Palača Ivanić,Tourist Spot,5.37
231,318,Palača Užižić,Tourist Spot,6.87
232,318,Tvrđava Fortica,Tourist Spot,11.35
233,318,Crkva Sv. Vida,Tourist Spot,6.54
234,318,Grčka kula Tor,Tourist Spot,17.18
235,318,Kaštilac,Tourist Spot,13.85
236,318,Grad Galešnik,Tourist Spot,6.53
237,318,Kupinovik,Tourist Spot,14.29
238,318,sv. Vida,Tourist Spot,13.05
239,318,Križ Kristu Otkupitelju,Tourist Spot,1.25
240,318,Kapela sv. Antuna,Tourist Spot,13.98
241,318,Naš tovor,Tourist Spot,18.57
242,318,Likorova kuća,Tourist Spot,3.00
243,318,Mirje,Tourist Spot,13.06
244,319,Kröpeliner Tor,Tourist Spot,12.06
245,319,Stephan Jantzen,Tourist Spot,1.97
246,319,Hochschule für Musik und Theater,Tourist Spot,18.16
247,319,Kletterwald Hohe Düne,Tourist Spot,6.66
248,319,Leuchtturm Warnemünde,Tourist Spot,14.93
249,319,Dresden,Tourist Spot,5.30
250,319,"Jugendschiff '"Likedeeler'"",Tourist Spot,18.32
251,319,"Schwimmkran '"Langer Heinrich'"",Tourist Spot,12.44
252,319,Großsteingrab Bollbrücke,Tourist Spot,11.82
253,319,Ständehaus,Tourist Spot,7.53
254,319,Bunker,Tourist Spot,12.31
255,319,Jakobikirchplatz,Tourist Spot,18.55
256,319,Land-gut-Hotel Hermann,Tourist Spot,7.02
257,319,Barocksaal,Tourist Spot,8.45
258,319,Gertrud Rubensohn,Tourist Spot,11.65
259,319,Anna Kaatz,Tourist Spot,7.47
260,319,Richard Siegmann,Tourist Spot,3.98
261,319,Marie Bloch,Tourist Spot,18.35
262,319,SegTime,Tourist Spot,3.54
263,319,Erlebnis-Dorf,Tourist Spot,11.04
264,320,Βαρδιόλα στο Αργάσι,Tourist Spot,6.25
265,320,Μυκηναϊκό νεκροταφείο,Tourist Spot,8.94
266,320,Turtle feeding point,Tourist Spot,12.34
267,320,Yellow Submarine,Tourist Spot,4.33
268,320,Βαρδιόλα στο Ακρωτήρι,Tourist Spot,2.23
269,320,Γέφυρα Αργασίου,Tourist Spot,3.39
270,320,Vourderis Arch,Tourist Spot,8.65
271,320,Πύργος Μονής Αναφωνήτριας,Tourist Spot,7.52
272,320,Πύργος Μονής Αγ. Ιωάννη Προδρόμου,Tourist Spot,14.05
273,320,Παλιόκαστρο Μαχαιράδου,Tourist Spot,8.86
274,320,Football pitch,Tourist Spot,3.87
275,320,Castle of Zakynthos,Tourist Spot,4.54
276,320,Church of Agios Ioanis o Prodromos,Tourist Spot,7.78
277,320,Prison from period of Venetian rule,Tourist Spot,3.63
278,320,Gunpowder Store,Tourist Spot,10.24
279,320,Church of Panagia Laurentaina,Tourist Spot,16.19
280,320,Πεντακάμαρο,Tourist Spot,15.94
281,320,Andronios Wells,Tourist Spot,19.84
282,320,Akrotiri Keriou,Tourist Spot,5.89
283,320,Παραλία Πλακάκι,Tourist Spot,18.51
284,322,Mehrangarh,Tourist Spot,15.72
285,322,Umaid Heritage Art School,Tourist Spot,19.94
286,322,Umaid Bhawan Palace,Tourist Spot,8.34
287,322,Jaswant Thada,Tourist Spot,17.28
288,322,Moti Mahal,Tourist Spot,12.24
289,322,City Wall,Tourist Spot,14.24
290,322,brahma temple,Tourist Spot,19.10
291,322,nahar singh ji temple,Tourist Spot,9.88
292,322,Machia Fort,Tourist Spot,11.09
293,322,Sojati Gate,Tourist Spot,8.71
294,322,Raika Bagh,Tourist Spot,9.43
295,322,City View,Tourist Spot,18.60
296,322,गुलाब सागर यहाँ से देखें,Tourist Spot,3.55
297,322,Sardar market,Tourist Spot,9.92
298,322,Late Shri Bal Mukund Memorial,Tourist Spot,11.53
299,322,Sardar Mahal,Tourist Spot,2.59
301,322,Natural Pond (Swimming Allowed),Tourist Spot,1.37
302,322,Batman shooting Location,Tourist Spot,19.75
303,322,Blue wall,Tourist Spot,19.61
304,323,Saung Angklung Udjo,Tourist Spot,1.16
305,323,Rabbit Town,Tourist Spot,0.81
306,323,Gedung Merdeka,Tourist Spot,16.02
307,323,kebun stroberi,Tourist Spot,12.67
308,323,Observatorium Bosscha,Tourist Spot,19.15
309,323,Trans Studio Bandung,Tourist Spot,14.11
310,323,Pintu Masuk Forest Walk Babakan Siliwangi,Tourist Spot,17.17
311,323,Dago Car Free Day,Tourist Spot,4.78
312,323,Kereta Api TD 1002,Tourist Spot,18.76
313,323,Tembok Ratapan,Tourist Spot,11.88
314,323,Lengkong Night Street Food,Tourist Spot,16.34
315,323,"Bandung Sister Cities -  Fort Worth, Texas",Tourist Spot,18.99
316,323,Benteng Belanda,Tourist Spot,17.49
317,323,Pemakaman Keluarga,Tourist Spot,17.08
318,323,Tugu Soekarno,Tourist Spot,13.68
319,323,Grabmonument Franz Wilhelm Junghuhn,Tourist Spot,12.85
320,323,Gedung DENIS,Tourist Spot,16.53
321,323,Gereja Katedral Santo Petrus Bandung,Tourist Spot,6.17
322,323,Gedung Sate,Tourist Spot,16.67
323,323,Gate,Tourist Spot,1.78
324,324,Reggia di Portici,Tourist Spot,16.97
325,324,Castel Sant'Elmo,Tourist Spot,9.43
326,324,Parco Archeologico del Pausilypon,Tourist Spot,10.08
327,324,Teatro di San Carlo,Tourist Spot,15.27
328,324,Torre Bassano,Tourist Spot,10.32
329,324,Villa romana del Torchio,Tourist Spot,2.51
330,324,Ipogeo dei Cristallini,Tourist Spot,0.75
331,324,Castel Nuovo (Museo Civico),Tourist Spot,9.47
332,324,Casa dell'albergo,Tourist Spot,10.86
333,324,Collegio degli Augustali,Tourist Spot,13.70
334,324,Galleria Umberto I,Tourist Spot,9.43
335,324,Terme del Foro,Tourist Spot,7.34
336,324,Terrazza di Marco Nonio Balbo,Tourist Spot,4.42
337,324,Terme Suburbane,Tourist Spot,15.80
338,324,Casa dell'Atrio a Mosaico,Tourist Spot,0.65
339,324,Casa di Aristide,Tourist Spot,7.91
340,324,Casa del Genio,Tourist Spot,16.67
341,324,Castel dell'Ovo,Tourist Spot,15.24
342,324,Ercolano,Tourist Spot,13.58
343,324,Napoli Sotterranea,Tourist Spot,8.65
344,325,Les Crocodiles de Yamoussoukro,Tourist Spot,6.57
345,325,Objectif RFA,Tourist Spot,19.46
346,326,さっぽろテレビ塔,Tourist Spot,17.65
347,326,NHK 札幌放送局,Tourist Spot,5.15
348,326,八剣山果樹園,Tourist Spot,9.66
349,326,旧石山郵便局 ぽすとかん,Tourist Spot,19.82
350,326,わだつみのこえ　wadatsuminokoe,Tourist Spot,4.77
351,326,豊平館,Tourist Spot,18.33
352,326,日本キリスト教団 札幌教会,Tourist Spot,4.59
353,326,江別古墳群,Tourist Spot,8.95
354,326,JRタワー展望台　T38,Tourist Spot,4.70
355,326,北海道百年記念塔,Tourist Spot,15.09
356,326,遺跡保存庭園,Tourist Spot,7.53
357,326,八窓庵,Tourist Spot,5.54
358,326,プレイマウンテン,Tourist Spot,4.79
359,326,旧黒岩家住宅,Tourist Spot,16.68
360,326,さっぽろ羊ヶ丘展望台,Tourist Spot,0.84
361,326,ミュージックシェル,Tourist Spot,4.76
362,326,ガラスのピラミッド HIDAMARI,Tourist Spot,5.54
363,395,Mount Yasur caldera,Tourist Spot,4.06
364,326,神威岳,Tourist Spot,5.62
365,326,白旗山,Tourist Spot,14.45
366,326,necco,Tourist Spot,12.80
367,327,Крепость,Tourist Spot,2.58
368,327,Көпес Ғабдулвалиевтің сауда үйі,Tourist Spot,13.11
369,327,"'"Көктөбе'" теледидар мұнарасы",Tourist Spot,19.03
370,327,Дом Офицеров,Tourist Spot,3.75
371,327,Монумент независимости Казахстана,Tourist Spot,17.50
372,327,Площадь Республики,Tourist Spot,13.89
373,327,Абай алаңы,Tourist Spot,14.49
374,327,Арки,Tourist Spot,5.92
375,327,Памятник Абаю,Tourist Spot,5.80
376,327,Битлз,Tourist Spot,16.12
377,327,памятник Ю. Померанцеву,Tourist Spot,3.91
378,327,Архив Президента Республики Казахстан,Tourist Spot,4.11
379,327,Дом купца Филиппова,Tourist Spot,7.13
380,327,Дом Радченко,Tourist Spot,0.13
381,327,Дом купца Габдулвалиева,Tourist Spot,16.31
382,327,Дом ученых,Tourist Spot,13.04
383,327,Дом врача Фидлера,Tourist Spot,6.58
384,327,В. И. Ленин,Tourist Spot,17.61
385,327,Крепость,Tourist Spot,10.66
386,327,Рассвет свободы,Tourist Spot,1.04
387,328,Ambassade de Russie,Tourist Spot,13.37
388,328,Luxembourg City: Old Quarters & Fortifications,Tourist Spot,5.10
389,328,BCEE Clock Tower,Tourist Spot,0.42
390,328,Saltimbanques,Tourist Spot,17.84
391,328,Monument aux Morts Corniche,Tourist Spot,15.03
392,328,Ancienne ligne Luxembourg-Remich,Tourist Spot,8.69
393,328,Ancienne ligne Luxembourg-Echternach,Tourist Spot,0.39
394,328,Ancienne ligne Pétange-Ettelbruck,Tourist Spot,16.83
395,328,Ancienne ligne Bettembourg - Aspelt,Tourist Spot,7.28
396,328,Château de Septfontaines,Tourist Spot,3.97
397,328,Château de Bourglinster,Tourist Spot,0.90
1796,403,Cenotaph,Tourist Spot,6.32
398,328,Luxembourg American Cemetery and Memorial,Tourist Spot,15.85
399,328,Le Passe-muraille,Tourist Spot,6.71
400,328,L'Envol,Tourist Spot,17.54
401,328,Mausolée des soldats français de la Grande Guerre,Tourist Spot,12.23
402,328,Jan Palach,Tourist Spot,5.00
403,328,Place de Paris,Tourist Spot,13.04
404,328,Marché-aux-Poissons,Tourist Spot,14.25
405,328,Bastion du fort Lambert,Tourist Spot,2.41
406,328,Buerg Hesper,Tourist Spot,9.28
407,329,Acceso al Parque Natural El Encuentro,Tourist Spot,0.83
408,329,Ex Convento de Santo Domingo,Tourist Spot,11.69
409,329,San Cristóbal de las Casas;Kiosco Central,Tourist Spot,9.88
410,329,Ruinas del templo de San Sebastián,Tourist Spot,13.69
411,329,María Adelina Flores Morales,Tourist Spot,3.12
412,329,Ángel Robles Ramirez,Tourist Spot,15.12
413,329,Prudencio Moscoso Pastrana,Tourist Spot,11.19
414,329,Mariano N. Ruíz Suasnavar,Tourist Spot,18.00
415,329,Monumento al Dr. Manuel Velasco Suárez,Tourist Spot,5.87
416,329,Monumento a Fray Bartolomé de Las Casas,Tourist Spot,11.79
417,329,Grutas El Mamut,Tourist Spot,19.09
418,329,centro cultural el carmen,Tourist Spot,17.16
419,329,Arco de Piedra,Tourist Spot,0.90
420,329,El mirador,Tourist Spot,12.19
421,329,Panteon,Tourist Spot,14.85
422,329,Grutas del Agua,Tourist Spot,10.81
423,329,Hhuitepec reserva natural,Tourist Spot,11.77
424,329,Galeria Mudra,Tourist Spot,2.53
425,329,Alberto Dominguez B.,Tourist Spot,7.18
426,329,Cañón antiguo derecho,Tourist Spot,0.92
427,330,Rāmavas Depkina muiža,Tourist Spot,17.09
428,330,Dauderi,Tourist Spot,0.44
429,330,Melngalvju nams,Tourist Spot,19.37
430,330,Provodņiks,Tourist Spot,15.09
431,330,Kalnciema kvartāls,Tourist Spot,3.15
432,330,Anna Ģertrūde Vērmane,Tourist Spot,9.21
433,330,MyEscape,Tourist Spot,12.70
434,330,Daugavgrīvas cietoksnis,Tourist Spot,13.61
435,330,Trīs brāļi,Tourist Spot,19.96
436,330,Sudrabkalniņš,Tourist Spot,6.44
437,340,Crashed Plane,Tourist Spot,12.26
438,330,Rīgas Pils,Tourist Spot,2.36
439,330,Kaķu nams,Tourist Spot,2.77
440,330,Baložu kūdras muzejdzelzceļš,Tourist Spot,6.27
441,330,Latviešu strēlnieku piemineklis,Tourist Spot,19.41
442,330,Brīvības piemineklis,Tourist Spot,14.89
443,330,Rīgas Horālā sinagoga,Tourist Spot,17.08
444,330,Aleksandra vārti,Tourist Spot,11.63
445,330,Anniņmuiža,Tourist Spot,13.68
446,330,Bonaventuras muiža,Tourist Spot,10.81
447,330,Strazdumuiža,Tourist Spot,12.97
448,331,Pittock Mansion,Tourist Spot,15.94
449,331,Pioneer Courthouse Square,Tourist Spot,9.08
450,331,Fort Vancouver National Historic Site,Tourist Spot,19.25
451,331,Laurelhurst Park,Tourist Spot,10.46
452,331,Crystal Springs Rhododendron Gardens,Tourist Spot,3.09
453,331,USS Blueback,Tourist Spot,6.88
454,331,Oregon Maritime Museum,Tourist Spot,18.40
455,331,Director Park,Tourist Spot,1.80
456,331,Vietnam Veterans of Oregon Memorial,Tourist Spot,6.39
457,331,Portland Center Stage at The Armory,Tourist Spot,2.65
458,331,Nonna Emilia's Ristorante Italiano,Tourist Spot,19.55
459,331,St. Andrews Memory Care,Tourist Spot,11.31
460,331,Nordia House,Tourist Spot,11.03
461,331,Darcelle XV,Tourist Spot,6.89
462,331,Nordic Finn Ware,Tourist Spot,13.80
463,331,Broder Söder,Tourist Spot,7.05
464,331,Lone Fir Cemetery,Tourist Spot,5.44
465,331,Oregon Holocaust Memorial,Tourist Spot,9.73
466,331,Willamette National Cemetery,Tourist Spot,12.72
467,331,Crystal Ballroom,Tourist Spot,17.90
468,332,Ид шидийн орон,Tourist Spot,19.73
469,332,Кибер арена,Tourist Spot,17.14
470,332,Сүхбаатарын талбай,Tourist Spot,16.96
471,332,Зайсан толгой,Tourist Spot,10.75
472,332,Цэцээ Гүн,Tourist Spot,4.40
473,332,ТЭХИЙН ЗОГСООЛ,Tourist Spot,12.36
474,332,Portrait of Genghis Khan,Tourist Spot,9.56
475,332,Japanese War Cemetery 日本人墓地,Tourist Spot,17.44
476,332,Хаан хаалга,Tourist Spot,14.22
477,332,Чингэлтэй дүүргийн хөшөө,Tourist Spot,18.53
478,332,Монгол Ард эскадрилийн хөшөө,Tourist Spot,0.81
479,332,Сүхбаатарын хөшөө,Tourist Spot,8.44
480,332,С. Зоригийн хөшөө,Tourist Spot,1.50
481,332,Соёмбот багана,Tourist Spot,10.27
482,332,Битлзийн хөшөө,Tourist Spot,0.60
483,332,Махатма Ганди,Tourist Spot,11.70
484,332,façade mural,Tourist Spot,2.24
485,332,Хан Уул Дүүрэг,Tourist Spot,6.74
486,332,Democrary monument,Tourist Spot,18.63
487,332,façade mural,Tourist Spot,3.10
488,333,Kitesensation Essaouira,Tourist Spot,17.82
489,333,Horse Adventure Essaouira,Tourist Spot,16.47
490,333,Skala Du Port,Tourist Spot,8.68
491,333,Porte Bab Doukkala باب دكالة,Tourist Spot,0.31
492,333,Sultan Rachids Palace قصر السلطان رشيد,Tourist Spot,7.18
493,333,Bab El Mechouar,Tourist Spot,18.84
494,333,Skala De La Ville,Tourist Spot,9.32
599,338,Castelo de São Jorge,Tourist Spot,18.36
495,333,petit fort portuguess حصن برتغالي صغير,Tourist Spot,1.76
496,333,Pressing Al Mostakbal,Tourist Spot,4.30
497,333,Sidi Magdoul,Tourist Spot,14.32
498,333,Sidi Ouazzaniyy,Tourist Spot,13.64
499,333,Sidi Ouassan,Tourist Spot,15.75
500,333,Sidi Yassine,Tourist Spot,17.77
501,333,Zawia Tijaniya,Tourist Spot,6.35
502,333,Sidi Bouzama,Tourist Spot,19.91
